date,Primary J&J/Janssen dose,Primary mRNA dose 1,Primary mRNA dose 2,Additional/booster dose 1,Additional/booster dose 2,Unknown/Other,Population
2/1/2021,0,5455,2743,0,0,13,2260800
2/2/2021,0,6957,3075,0,0,12,2260800
2/3/2021,0,7119,3907,0,0,12,2260800
2/4/2021,0,6879,4331,0,0,6,2260800
2/5/2021,0,6556,4017,0,0,17,2260800
2/6/2021,0,6241,3616,0,0,6,2260800
2/7/2021,0,1435,2540,0,0,2,2260800
2/8/2021,0,4389,5177,0,0,14,2260800
2/9/2021,0,6021,5601,0,0,7,2260800
2/10/2021,0,6286,6413,0,0,11,2260800
2/11/2021,0,7229,6111,0,0,11,2260800
2/12/2021,0,6348,7271,0,0,9,2260800
2/13/2021,0,1629,1880,0,0,5,2260800
2/14/2021,0,1031,1378,0,0,3,2260800
2/15/2021,0,4511,9824,0,0,8,2260800
2/16/2021,0,6120,7307,0,0,11,2260800
2/17/2021,0,5499,8404,0,0,9,2260800
2/18/2021,0,5021,7777,0,0,7,2260800
2/19/2021,0,4515,6035,0,0,11,2260800
2/20/2021,0,3817,8578,0,0,7,2260800
2/21/2021,0,1890,4446,0,0,4,2260800
2/22/2021,0,2151,2957,0,0,16,2260800
2/23/2021,0,4627,7979,0,0,8,2260800
2/24/2021,0,5732,7683,0,0,16,2260800
2/25/2021,0,7823,8733,0,0,5,2260800
2/26/2021,0,8244,10591,0,0,13,2260800
2/27/2021,6,10659,10138,0,0,13,2260800
2/28/2021,5,6001,5283,0,0,10,2260800
3/1/2021,21,7743,5669,0,0,12,2260800
3/2/2021,2,11181,5906,0,0,23,2260800
3/3/2021,13,10526,7860,0,0,17,2260800
3/4/2021,14,10756,6637,0,0,16,2260800
3/5/2021,149,12402,6441,0,0,13,2260800
3/6/2021,794,14816,5631,0,0,22,2260800
3/7/2021,27,10464,1126,0,0,11,2260800
3/8/2021,761,6152,4336,0,0,18,2260800
3/9/2021,416,10759,5322,0,0,9,2260800
3/10/2021,786,10859,5297,0,0,12,2260800
3/11/2021,918,10853,6938,0,0,17,2260800
3/12/2021,1069,10980,6277,0,0,11,2260800
3/13/2021,3634,16206,4655,0,0,16,2260800
3/14/2021,3679,4326,1783,0,0,236,2260800
3/15/2021,624,8008,3931,0,0,18,2260800
3/16/2021,708,11173,5629,0,0,16,2260800
3/17/2021,920,13287,6727,0,0,19,2260800
3/18/2021,401,14064,6283,0,0,16,2260800
3/19/2021,451,14320,6249,0,0,12,2260800
3/20/2021,611,17654,6409,0,0,12,2260800
3/21/2021,877,8171,3796,0,0,8,2260800
3/22/2021,551,9465,3674,0,0,13,2260800
3/23/2021,184,12332,7336,0,0,12,2260800
3/24/2021,156,17705,8040,0,0,16,2260800
3/25/2021,186,15578,10169,0,0,11,2260800
3/26/2021,505,15301,11728,0,0,12,2260800
3/27/2021,859,15953,13240,0,0,4,2260800
3/28/2021,499,6276,9729,0,0,11,2260800
3/29/2021,298,9165,7033,0,0,7,2260800
3/30/2021,341,12795,10457,0,0,24,2260800
3/31/2021,1304,19470,14112,2,0,10,2260800
4/1/2021,1916,17540,11979,0,0,23,2260800
4/2/2021,3539,16704,12193,0,0,14,2260800
4/3/2021,3904,14914,16568,1,0,15,2260800
4/4/2021,254,4667,3457,0,0,4,2260800
4/5/2021,3371,13081,6269,0,0,16,2260800
4/6/2021,4092,17185,9756,1,0,25,2260800
4/7/2021,4325,23558,11712,1,0,19,2260800
4/8/2021,5731,14859,9485,0,0,29,2260800
4/9/2021,4605,17008,10664,2,0,20,2260800
4/10/2021,4575,18193,15798,0,0,12,2260800
4/11/2021,1077,8192,4119,0,0,10,2260800
4/12/2021,4017,10414,6946,1,0,16,2260800
4/13/2021,22,14425,11628,4,0,26,2260800
4/14/2021,32,14255,14807,1,0,21,2260800
4/15/2021,53,18490,13284,1,0,15,2260800
4/16/2021,9,21410,14764,3,0,15,2260800
4/17/2021,4,21338,16086,1,0,19,2260800
4/18/2021,2,11821,4741,2,0,9,2260800
4/19/2021,4,13391,9600,3,0,15,2260800
4/20/2021,9,17583,10855,7,0,21,2260800
4/21/2021,9,19116,18684,3,0,24,2260800
4/22/2021,9,16850,16034,5,0,26,2260800
4/23/2021,0,15694,17221,3,0,26,2260800
4/24/2021,65,26315,16581,3,0,8,2260800
4/25/2021,48,11070,7397,2,0,4,2260800
4/26/2021,109,12248,11542,1,0,24,2260800
4/27/2021,329,15576,15490,1,0,28,2260800
4/28/2021,315,15012,21563,9,0,33,2260800
4/29/2021,507,14257,13972,7,0,20,2260800
4/30/2021,404,16365,19210,14,0,42,2260800
5/1/2021,517,14661,17583,5,0,26,2260800
5/2/2021,334,4848,4973,1,0,6,2260800
5/3/2021,491,8553,11596,3,0,18,2260800
5/4/2021,1109,9384,12995,4,0,22,2260800
5/5/2021,972,9058,14544,9,0,28,2260800
5/6/2021,1117,8530,17398,5,0,29,2260800
5/7/2021,893,7553,18887,8,0,21,2260800
5/8/2021,730,5882,23161,8,0,8,2260800
5/9/2021,104,1523,7820,5,0,4,2260800
5/10/2021,477,4805,12492,6,0,15,2260800
5/11/2021,732,5202,16694,7,0,15,2260800
5/12/2021,632,5380,16429,8,0,21,2260800
5/13/2021,644,9369,15923,8,0,16,2260800
5/14/2021,677,10822,19560,5,0,21,2260800
5/15/2021,914,11806,25065,16,0,17,2260800
5/16/2021,274,3922,9651,6,0,7,2260800
5/17/2021,626,9007,14274,4,0,18,2260800
5/18/2021,856,8864,15932,6,0,17,2260800
5/19/2021,861,9522,15912,8,0,21,2260800
5/20/2021,708,8058,15089,12,0,19,2260800
5/21/2021,698,8956,16290,10,0,17,2260800
5/22/2021,719,8765,18456,13,0,11,2260800
5/23/2021,166,3403,2828,5,0,9,2260800
5/24/2021,443,5402,10422,7,0,31,2260800
5/25/2021,628,5301,11111,17,0,28,2260800
5/26/2021,418,4785,11549,9,0,22,2260800
5/27/2021,430,4186,10978,11,0,29,2260800
5/28/2021,616,4551,12458,16,0,26,2260800
5/29/2021,444,2601,5856,5,0,20,2260800
5/30/2021,130,1095,1539,4,0,12,2260800
5/31/2021,109,594,2195,39,0,13,2260800
6/1/2021,444,3235,8417,13,0,21,2260800
6/2/2021,402,2806,6564,9,0,13,2260800
6/3/2021,442,2615,8533,7,0,20,2260800
6/4/2021,469,3328,11633,16,0,18,2260800
6/5/2021,363,2450,12201,16,0,15,2260800
6/6/2021,147,1021,3227,7,0,4,2260800
6/7/2021,379,2403,7863,13,0,15,2260800
6/8/2021,429,2285,8971,16,0,13,2260800
6/9/2021,392,2421,9455,20,0,17,2260800
6/10/2021,416,2364,8387,11,0,26,2260800
6/11/2021,415,2592,7834,15,0,17,2260800
6/12/2021,406,1862,8342,15,0,12,2260800
6/13/2021,111,534,3304,3,0,4,2260800
6/14/2021,242,2044,6380,20,0,20,2260800
6/15/2021,446,2072,5892,14,0,15,2260800
6/16/2021,312,2073,5278,19,0,13,2260800
6/17/2021,372,1918,4062,13,0,14,2260800
6/18/2021,368,2472,4952,14,0,14,2260800
6/19/2021,283,1432,2742,4,0,6,2260800
6/20/2021,103,643,1275,5,0,7,2260800
6/21/2021,233,1871,2144,16,0,13,2260800
6/22/2021,371,1678,2941,20,0,3,2260800
6/23/2021,257,1724,2897,32,0,8,2260800
6/24/2021,274,1664,2367,7,0,8,2260800
6/25/2021,308,2045,3748,7,0,16,2260800
6/26/2021,167,1151,2024,10,0,4,2260800
6/27/2021,49,559,1084,7,0,4,2260800
6/28/2021,154,1067,1708,10,0,9,2260800
6/29/2021,230,1661,2228,27,0,18,2260800
6/30/2021,277,2208,2343,48,0,8,2260800
7/1/2021,184,1688,2355,40,0,12,2260800
7/2/2021,318,2112,2654,37,0,12,2260800
7/3/2021,169,1024,1457,34,0,9,2260800
7/4/2021,23,208,185,0,0,6,2260800
7/5/2021,107,1227,1281,14,0,10,2260800
7/6/2021,417,1449,2212,22,0,13,2260800
7/7/2021,243,1385,2107,12,0,10,2260800
7/8/2021,338,1324,2085,17,0,7,2260800
7/9/2021,577,1543,2528,25,0,9,2260800
7/10/2021,178,1101,1492,20,0,5,2260800
7/11/2021,61,547,745,11,0,3,2260800
7/12/2021,214,1348,1679,20,0,9,2260800
7/13/2021,203,1436,1605,18,0,7,2260800
7/14/2021,149,1170,1538,26,0,12,2260800
7/15/2021,200,1308,1665,22,0,16,2260800
7/16/2021,201,1525,2167,21,0,8,2260800
7/17/2021,138,884,1096,10,0,7,2260800
7/18/2021,46,512,514,6,0,4,2260800
7/19/2021,135,1408,1325,17,0,9,2260800
7/20/2021,251,1383,1342,21,0,6,2260800
7/21/2021,186,1362,2089,60,0,6,2260800
7/22/2021,244,1475,1646,52,0,5,2260800
7/23/2021,176,1666,1638,50,0,6,2260800
7/24/2021,112,1021,1022,39,0,6,2260800
7/25/2021,68,704,377,21,0,1,2260800
7/26/2021,163,1541,1316,40,0,7,2260800
7/27/2021,187,1622,1333,49,0,10,2260800
7/28/2021,153,1479,1347,55,0,10,2260800
7/29/2021,151,1677,1231,69,0,9,2260800
7/30/2021,176,1822,1535,75,0,11,2260800
7/31/2021,98,1141,1003,139,0,14,2260800
8/1/2021,67,702,548,44,0,8,2260800
8/2/2021,142,1712,1202,60,0,17,2260800
8/3/2021,231,1867,1368,48,0,7,2260800
8/4/2021,252,1808,1156,53,0,11,2260800
8/5/2021,159,1910,1219,59,0,12,2260800
8/6/2021,194,2173,1492,76,0,6,2260800
8/7/2021,107,1327,775,32,0,7,2260800
8/8/2021,48,819,535,17,0,8,2260800
8/9/2021,170,1922,1396,70,0,12,2260800
8/10/2021,145,1824,1240,45,0,9,2260800
8/11/2021,196,1711,1183,52,0,7,2260800
8/12/2021,152,1723,1315,50,0,10,2260800
8/13/2021,162,1967,1507,146,0,6,2260800
8/14/2021,109,1339,845,333,0,5,2260800
8/15/2021,34,804,608,260,1,2,2260800
8/16/2021,179,1892,1476,702,0,8,2260800
8/17/2021,143,1854,1358,778,1,7,2260800
8/18/2021,139,1780,1277,839,0,6,2260800
8/19/2021,132,2001,1402,799,1,6,2260800
8/20/2021,163,2002,1585,855,0,8,2260800
8/21/2021,82,1373,965,573,0,6,2260800
8/22/2021,34,793,632,225,0,1,2260800
8/23/2021,159,2093,1611,943,0,7,2260800
8/24/2021,162,1902,1604,671,0,9,2260800
8/25/2021,157,1864,1530,971,2,5,2260800
8/26/2021,134,1789,1587,743,0,11,2260800
8/27/2021,142,2047,1990,920,2,8,2260800
8/28/2021,57,1181,1121,582,1,6,2260800
8/29/2021,41,798,783,231,0,2,2260800
8/30/2021,171,1817,1670,878,0,9,2260800
8/31/2021,142,1686,1522,833,0,7,2260800
9/1/2021,214,1513,1304,829,1,10,2260800
9/2/2021,162,1463,1369,809,2,4,2260800
9/3/2021,171,2001,1815,1007,4,4,2260800
9/4/2021,66,1233,1120,469,0,11,2260800
9/5/2021,55,833,753,268,0,3,2260800
9/6/2021,49,512,440,138,1,4,2260800
9/7/2021,167,1633,1909,750,1,4,2260800
9/8/2021,212,1608,1563,806,0,4,2260800
9/9/2021,222,1683,1622,816,2,8,2260800
9/10/2021,200,2004,2059,877,2,7,2260800
9/11/2021,110,1385,1257,399,0,7,2260800
9/12/2021,55,908,766,151,1,1,2260800
9/13/2021,143,2152,1842,968,1,6,2260800
9/14/2021,165,1362,1594,871,4,2,2260800
9/15/2021,186,1431,1570,625,5,4,2260800
9/16/2021,160,1265,1541,701,2,6,2260800
9/17/2021,204,1802,2207,956,1,1,2260800
9/18/2021,106,1307,1257,423,0,2,2260800
9/19/2021,35,842,749,208,0,2,2260800
9/20/2021,210,1510,1734,803,2,1,2260800
9/21/2021,168,1313,1457,692,0,6,2260800
9/22/2021,174,1220,1372,716,0,6,2260800
9/23/2021,155,1194,1234,955,2,6,2260800
9/24/2021,181,1520,1920,3156,5,1,2260800
9/25/2021,81,982,1256,3256,8,3,2260800
9/26/2021,100,617,718,1617,3,3,2260800
9/27/2021,167,1286,1033,5664,5,4,2260800
9/28/2021,169,1187,1474,6631,4,8,2260800
9/29/2021,216,1225,1490,5922,10,3,2260800
9/30/2021,154,1168,1548,6235,10,1,2260800
10/1/2021,197,1378,2030,6788,7,12,2260800
10/2/2021,121,833,1242,3294,7,4,2260800
10/3/2021,31,541,894,1492,1,4,2260800
10/4/2021,256,1265,1884,4803,3,2,2260800
10/5/2021,158,1147,1333,5375,8,4,2260800
10/6/2021,110,1132,1419,4716,2,4,2260800
10/7/2021,117,1102,1216,5064,4,6,2260800
10/8/2021,163,1258,1633,5402,1,8,2260800
10/9/2021,68,726,1067,3321,3,0,2260800
10/10/2021,35,419,676,1063,4,3,2260800
10/11/2021,162,1125,1320,4095,3,2,2260800
10/12/2021,119,1028,1150,4095,2,2,2260800
10/13/2021,144,1028,1147,4358,4,3,2260800
10/14/2021,139,1039,1133,4649,4,4,2260800
10/15/2021,187,1203,1455,4834,4,3,2260800
10/16/2021,62,714,885,2331,3,4,2260800
10/17/2021,24,421,588,1081,1,1,2260800
10/18/2021,172,1094,1167,3810,3,2,2260800
10/19/2021,160,1117,939,4319,4,5,2260800
10/20/2021,148,1082,1026,3809,1,0,2260800
10/21/2021,109,1020,979,4570,7,2,2260800
10/22/2021,158,1239,1246,6597,8,3,2260800
10/23/2021,72,842,725,6155,6,2,2260800
10/24/2021,13,573,472,3311,3,0,2260800
10/25/2021,148,1385,1118,7900,4,6,2260800
10/26/2021,155,1494,1003,8831,10,8,2260800
10/27/2021,155,1588,1019,9043,10,6,2260800
10/28/2021,193,1450,956,9654,9,8,2260800
10/29/2021,184,1570,1222,11289,16,5,2260800
10/30/2021,97,1076,756,8334,16,5,2260800
10/31/2021,44,646,403,3427,5,2,2260800
